name	component	type	tracked_point	units	placement	reference_frame	sampling_frequency
Rigid1_quat_w	quat_w	ORNT	Rigid1	rad	Rigid1	global	89.4772035548444
Rigid1_quat_x	quat_x	ORNT	Rigid1	rad	Rigid1	global	89.4772035548444
Rigid1_quat_y	quat_y	ORNT	Rigid1	rad	Rigid1	global	89.4772035548444
Rigid1_quat_z	quat_z	ORNT	Rigid1	rad	Rigid1	global	89.4772035548444
Rigid1_cart_x	x	POS	Rigid1	m	Rigid1	global	89.4772035548444
Rigid1_cart_y	y	POS	Rigid1	m	Rigid1	global	89.4772035548444
Rigid1_cart_z	z	POS	Rigid1	m	Rigid1	global	89.4772035548444
Rigid1_Conf	n/a	MISC	Rigid1	n/a	Rigid1	global	89.4772035548444
Rigid2_quat_w	quat_w	ORNT	Rigid2	rad	Rigid2	global	89.4772035548444
Rigid2_quat_x	quat_x	ORNT	Rigid2	rad	Rigid2	global	89.4772035548444
Rigid2_quat_y	quat_y	ORNT	Rigid2	rad	Rigid2	global	89.4772035548444
Rigid2_quat_z	quat_z	ORNT	Rigid2	rad	Rigid2	global	89.4772035548444
Rigid2_cart_x	x	POS	Rigid2	m	Rigid2	global	89.4772035548444
Rigid2_cart_y	y	POS	Rigid2	m	Rigid2	global	89.4772035548444
Rigid2_cart_z	z	POS	Rigid2	m	Rigid2	global	89.4772035548444
Rigid2_Conf	n/a	MISC	Rigid2	n/a	Rigid2	global	89.4772035548444
Rigid3_quat_w	quat_w	ORNT	Rigid3	rad	Rigid3	global	89.4772035548444
Rigid3_quat_x	quat_x	ORNT	Rigid3	rad	Rigid3	global	89.4772035548444
Rigid3_quat_y	quat_y	ORNT	Rigid3	rad	Rigid3	global	89.4772035548444
Rigid3_quat_z	quat_z	ORNT	Rigid3	rad	Rigid3	global	89.4772035548444
Rigid3_cart_x	x	POS	Rigid3	m	Rigid3	global	89.4772035548444
Rigid3_cart_y	y	POS	Rigid3	m	Rigid3	global	89.4772035548444
Rigid3_cart_z	z	POS	Rigid3	m	Rigid3	global	89.4772035548444
Rigid3_Conf	n/a	MISC	Rigid3	n/a	Rigid3	global	89.4772035548444
Rigid4_quat_w	quat_w	ORNT	Rigid4	rad	Rigid4	global	89.4772035548444
Rigid4_quat_x	quat_x	ORNT	Rigid4	rad	Rigid4	global	89.4772035548444
Rigid4_quat_y	quat_y	ORNT	Rigid4	rad	Rigid4	global	89.4772035548444
Rigid4_quat_z	quat_z	ORNT	Rigid4	rad	Rigid4	global	89.4772035548444
Rigid4_cart_x	x	POS	Rigid4	m	Rigid4	global	89.4772035548444
Rigid4_cart_y	y	POS	Rigid4	m	Rigid4	global	89.4772035548444
Rigid4_cart_z	z	POS	Rigid4	m	Rigid4	global	89.4772035548444
Rigid4_Conf	n/a	MISC	Rigid4	n/a	Rigid4	global	89.4772035548444
PhaseSpace_latency	n/a	LATENCY	n/a	seconds	n/a	n/a	89.4772035548444
