name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement	orientation_component
Rigid1_quat_w	ORNT	rad	84.7117990589249	PhaseSpace	Rigid1	quat_w	Rigid1	quat_w
Rigid1_quat_x	ORNT	rad	84.7117990589249	PhaseSpace	Rigid1	quat_x	Rigid1	quat_x
Rigid1_quat_y	ORNT	rad	84.7117990589249	PhaseSpace	Rigid1	quat_y	Rigid1	quat_y
Rigid1_quat_z	ORNT	rad	84.7117990589249	PhaseSpace	Rigid1	quat_z	Rigid1	quat_z
Rigid1_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid1	x	Rigid1	x
Rigid1_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid1	y	Rigid1	y
Rigid1_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid1	z	Rigid1	z
Rigid1_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid1	n/a	Rigid1	n/a
Rigid2_quat_w	ORNT	rad	84.7117990589249	PhaseSpace	Rigid2	quat_w	Rigid2	quat_w
Rigid2_quat_x	ORNT	rad	84.7117990589249	PhaseSpace	Rigid2	quat_x	Rigid2	quat_x
Rigid2_quat_y	ORNT	rad	84.7117990589249	PhaseSpace	Rigid2	quat_y	Rigid2	quat_y
Rigid2_quat_z	ORNT	rad	84.7117990589249	PhaseSpace	Rigid2	quat_z	Rigid2	quat_z
Rigid2_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid2	x	Rigid2	x
Rigid2_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid2	y	Rigid2	y
Rigid2_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid2	z	Rigid2	z
Rigid2_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid2	n/a	Rigid2	n/a
Rigid3_quat_w	ORNT	rad	84.7117990589249	PhaseSpace	Rigid3	quat_w	Rigid3	quat_w
Rigid3_quat_x	ORNT	rad	84.7117990589249	PhaseSpace	Rigid3	quat_x	Rigid3	quat_x
Rigid3_quat_y	ORNT	rad	84.7117990589249	PhaseSpace	Rigid3	quat_y	Rigid3	quat_y
Rigid3_quat_z	ORNT	rad	84.7117990589249	PhaseSpace	Rigid3	quat_z	Rigid3	quat_z
Rigid3_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid3	x	Rigid3	x
Rigid3_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid3	y	Rigid3	y
Rigid3_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid3	z	Rigid3	z
Rigid3_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid3	n/a	Rigid3	n/a
Rigid4_quat_w	ORNT	rad	84.7117990589249	PhaseSpace	Rigid4	quat_w	Rigid4	quat_w
Rigid4_quat_x	ORNT	rad	84.7117990589249	PhaseSpace	Rigid4	quat_x	Rigid4	quat_x
Rigid4_quat_y	ORNT	rad	84.7117990589249	PhaseSpace	Rigid4	quat_y	Rigid4	quat_y
Rigid4_quat_z	ORNT	rad	84.7117990589249	PhaseSpace	Rigid4	quat_z	Rigid4	quat_z
Rigid4_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid4	x	Rigid4	x
Rigid4_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid4	y	Rigid4	y
Rigid4_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid4	z	Rigid4	z
Rigid4_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid4	n/a	Rigid4	n/a
PhaseSpace_latency	LATENCY	seconds	84.7117990589249	PhaseSpace	n/a	n/a	n/a	n/a
